Data File Name,2100 expert_Eukaryote Total RNA Pico_DE13805791_2015-08-26_14-49-17.xad
Data File Path,C:\Laurent\Meenu\2015-08-26
Date Created,"Wednesday, August 26, 2015 9:49:16 PM"
Date Last Modified,"Wednesday, August 26, 2015 10:12:31 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,Eukaryote Total RNA Pico Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Pico
Assay Version,2.6
 
Number of Samples Run,11
 
Sample Name,Not Filtered 2
Number of Events,1060
 
Time,Value
17,3.771509E-02
17.05,3.922149E-02
17.1,1.089061E-02
17.15,-2.741653E-02
17.2,-4.523604E-02
17.25,-3.157911E-02
17.3,-2.049515E-02
17.35,5.662766E-03
17.4,1.560282E-02
17.45,1.873224E-02
17.5,1.279589E-02
17.55,9.908741E-03
17.6,-4.142072E-03
17.65,-0.0144572
17.7,-1.652409E-02
17.75,-2.944221E-03
17.8,4.394458E-03
17.85,7.632978E-03
17.9,8.769928E-03
17.95,1.314059E-02
18,2.791273E-02
18.05,0.0336444
18.1,4.172517E-02
18.15,5.058435E-02
18.2,4.347252E-02
18.25,2.148738E-02
18.3,-5.964962E-03
18.35,-0.0332403
18.4,-4.888536E-02
18.45,-3.228776E-02
18.5,-6.074866E-03
18.55,9.238583E-03
18.6,0.0147133
18.65,9.193654E-03
18.7,1.652695E-02
18.75,1.084344E-02
18.8,1.378306E-02
18.85,7.411985E-03
18.9,2.711144E-03
18.95,9.710965E-04
19,6.298764E-03
19.05,7.962893E-03
19.1,6.822006E-03
19.15,8.231396E-03
19.2,5.591508E-03
19.25,-1.352165E-02
19.3,-4.332487E-02
19.35,-5.596824E-02
19.4,-2.468709E-02
19.45,3.138777E-02
19.5,7.998191E-02
19.55,9.707136E-02
19.6,7.448637E-02
19.65,3.910259E-02
19.7,1.539244E-02
19.75,1.646378E-02
19.8,2.122804E-02
19.85,3.181593E-02
19.9,3.950076E-02
19.95,5.029157E-02
20,6.828079E-02
20.05,0.1045918
20.1,0.1145706
20.15,0.104933
20.2,0.0861507
20.25,7.366471E-02
20.3,7.090749E-02
20.35,8.535011E-02
20.4,8.912302E-02
20.45,7.373156E-02
20.5,5.464672E-02
20.55,4.955995E-02
20.6,5.181438E-02
20.65,7.358956E-02
20.7,0.1034549
20.75,0.1173173
20.8,0.1317209
20.85,0.1312019
20.9,0.1365097
20.95,0.133323
21,0.144488
21.05,0.1674597
21.1,0.1821612
21.15,0.1870863
21.2,0.1558526
21.25,0.1360435
21.3,0.1186898
21.35,0.1421829
21.4,0.1628624
21.45,0.1709559
21.5,0.1924074
21.55,0.2024606
21.6,0.2137566
21.65,0.2183418
21.7,0.21188
21.75,0.513059
21.8,1.852746
21.85,4.850957
21.9,9.099832
21.95,12.87577
22,14.24047
22.05,12.22472
22.1,8.225451
22.15,4.219319
22.2,1.663235
22.25,0.8181748
22.3,0.9876004
22.35,1.400579
22.4,1.786677
22.45,2.232184
22.5,2.81286
22.55,3.598407
22.6,4.613955
22.65,5.856698
22.7,7.293049
22.75,8.921439
22.8,10.81949
22.85,13.03491
22.9,15.69137
22.95,18.90656
23,22.52849
23.05,26.23153
23.1,29.8022
23.15,32.98376
23.2,35.69131
23.25,37.95611
23.3,39.96924
23.35,41.80501
23.4,43.63425
23.45,45.5793
23.5,47.62342
23.55,49.88119
23.6,52.4125
23.65,55.23854
23.7,58.34892
23.75,61.75464
23.8,65.50319
23.85,69.59975
23.9,74.12731
23.95,79.05384
24,84.25875
24.05,89.43242
24.1,94.54438
24.15,99.72603
24.2,104.7548
24.25,109.5819
24.3,114.5547
24.35,119.86
